ID,회사명,코드,재무제표,계정,단위,13-Dec,14-Mar,14-Jun,14-Sep,14-Dec,15-Mar,15-Jun,15-Sep,15-Dec,16-Mar,16-Jun,16-Sep,16-Dec,17-Mar,17-Jun,17-Sep,17-Dec,18-Mar,18-Jun,18-Sep,18-Dec,19-Mar,19-Jun,19-Sep,19-Dec,20-Mar,20-Jun,20-Sep,20-Dec,21-Mar,21-Jun,21-Sep,21-Dec,22-Mar
1,KPX케미칼,A025000,재무상태표,자산총액,억원,4716.6,4989.2,4924.6,4948.3,5120.6,5455.3,5508.3,5479.5,5076,5124.3,5292,5269.5,5319.6,5263.6,5383,5479.2,5481.1,5600,5657.2,5792,5352.7,5751.3,5689.2,5736.1,5378.9,5879.6,5965.1,6095.3,6370,7005.6,7641.1,7636.7,7771.4,7873.1
2,KPX케미칼,A025000,재무상태표,신용조달,억원,750.3,908.3,809.2,705.5,773.9,1077,988.9,930.5,598,600.7,645.8,636.6,703.2,775.8,735.9,724.8,810.6,913.4,1017.6,1003.8,677.1,1017.2,967.5,937.8,499.8,963.7,807.8,917.4,939.8,1392.4,1169.9,1288.2,1118.8,1241.2
3,KPX케미칼,A025000,재무상태표,외부차입,억원,473.8,539.9,519.2,556.4,521.6,508.7,507.9,486.1,412,428.4,458.9,396.9,316.4,230.6,318.9,371.9,242.4,262.1,160.7,332.6,239.2,265.8,161.9,141.7,55.8,169.3,168.4,106.7,93.9,202.7,864.3,668.7,872,809.2
4,KPX케미칼,A025000,재무상태표,주주투자,억원,600.6,600.9,589.3,594,614.3,633.2,639.2,631.6,577.1,569.9,557.5,552.9,561.7,533.8,515.1,527.6,523.1,492.2,492.6,475.6,478,491.5,490.5,494,485.5,503.2,490.2,487.9,478.5,508.8,522.7,550.5,548.2,564.8
5,KPX케미칼,A025000,재무상태표,유보이익,억원,2840.4,2887.4,2953.8,3036.8,3149.6,3170.8,3300.1,3350.9,3408,3440.6,3541.7,3603.9,3654.3,3641.6,3726.3,3769.3,3822.7,3844.5,3896.8,3897.8,3871.9,3883.9,3973,4068.1,4241.3,4140.1,4395.9,4485.2,4756.9,4793.1,4971.1,5017,5116.2,5135.1
6,KPX케미칼,A025000,재무상태표,비지배주주지분,억원,51.5,52.8,53.1,55.7,61.2,65.6,72.1,80.4,80.9,84.6,88.1,79.2,84.1,81.7,86.9,85.6,82.3,87.7,89.6,82.1,86.6,92.9,96.3,94.5,96.5,103.3,102.9,98.2,100.9,108.6,113.2,112.2,116.3,122.8
7,KPX케미칼,A025000,재무상태표,지배주주지분,억원,3441,3488.3,3543.1,3630.8,3763.9,3804,3939.3,3982.5,3985.1,4010.5,4099.2,4156.8,4216,4175.4,4241.4,4296.9,4345.8,4336.7,4389.3,4373.5,4349.9,4375.4,4463.6,4562.1,4726.8,4643.3,4886,4973,5235.4,5301.9,5493.8,5567.5,5664.4,5699.9
8,KPX케미칼,A025000,재무상태표,자본총액,억원,3492.4,3541.1,3596.3,3686.5,3825.1,3869.6,4011.4,4062.9,4066,4095.1,4187.3,4236,4300.1,4257.2,4328.3,4382.5,4428.1,4424.5,4478.9,4455.5,4436.5,4468.3,4559.8,4656.6,4823.3,4746.6,4988.9,5071.2,5336.3,5410.6,5606.9,5679.7,5780.7,5822.7
9,KPX케미칼,A025000,재무상태표,부채총액,억원,1224.2,1448.1,1328.4,1261.8,1295.5,1585.7,1496.9,1416.6,1010,1029.2,1104.8,1033.5,1019.6,1006.4,1054.7,1096.7,1053,1175.5,1178.2,1336.5,916.2,1283,1129.3,1079.5,555.6,1133,976.2,1024.1,1033.7,1595.1,2034.2,1956.9,1990.8,2050.4
10,KPX케미칼,A025000,재무상태표,매입채무,억원,492.1,572.3,499.9,398.6,456.2,450.5,465.1,457.5,309.5,314.1,317.9,318.9,354.1,338.5,420.9,433.2,538.5,506.9,696.1,660.4,405.1,587.5,599.3,526.9,219.3,490.3,364.9,466.6,534.8,860.7,717.8,824.7,696.6,735.5
11,KPX케미칼,A025000,재무상태표,설비투자,억원,1152,1214.7,1235.1,1233.3,1244,1457.7,1533.6,1571.7,1333.7,1306.5,1329.1,1353.4,1371.7,1427.8,1434,1435.5,1416.6,1400.1,1383.1,1387.7,1554.2,1628.6,1650.1,1671.5,1599.8,1590.7,1605.4,1631.6,1648.9,1697.9,1813.3,1921.7,2000.7,2025.8
12,KPX케미칼,A025000,재무상태표,운전자산,억원,2035.6,864.6,2211.2,2192.1,2156.9,2248.3,2297.4,2122.5,2080.4,2071.6,2086.8,2030,2089.7,1928.1,2122.3,2149.5,2197.3,2290.6,2347.2,2421.4,2193,2145.2,1920.4,2026.6,2026.2,1950.4,1810.4,1865.2,1955.8,2469.2,2850.3,2661.4,2744.3,2772.9
13,KPX케미칼,A025000,재무상태표,금융자산,억원,1282.8,2602.8,1163.5,1085.5,1234.2,1275.1,1377.6,1467.4,1363.6,1372,1420.6,1364.4,1235.3,1208.3,1169.4,1216,1484.5,1714.6,1614.5,1589.7,1506.6,1548,1665.3,1819.7,1715.2,1904.9,2311.3,2330.4,2304.4,2427.5,2504.8,2565.6,2455.4,2015
14,KPX케미칼,A025000,재무상태표,여유자금,억원,246.2,307.1,314.8,437.4,485.5,474.3,299.7,317.9,298.4,374.2,455.5,521.8,623,699.5,657.2,678.2,382.8,194.7,312.4,393.1,98.9,429.4,453.4,218.2,37.6,433.6,238,268.2,460.9,411,472.7,488,571.1,565.3
15,KPX케미칼,A025000,재무상태표,재고자산,억원,656.9,1.1,787.9,801.6,811,883.3,911.6,766.6,879.7,915.2,806.8,834.9,800.5,746.1,806.4,740.6,911.5,912.8,861,1006,885.4,802.9,657.2,761.8,774.7,750,751.5,649.8,656.1,1032.9,1178.7,1169.6,1155.5,1161.8
16,KPX케미칼,A025000,재무상태표,매출채권,억원,1257.3,766.8,1306.8,1287.4,1259.7,1235.9,1275.4,1275.7,1100.6,1084.6,1204.3,1107,1192.7,1086.8,1205.3,1319.1,1132.2,1179.4,1372.1,1281.1,1186.6,1252.8,1196.9,1150.3,1170.1,1073.2,969.5,1150.7,1251.4,1342.1,1546.6,1389.8,1506.1,1522.3
